episode_num,novelty_probability,novelty_threshold,novelty,novelty_characterization,performance,notify_novelty,pass,episode_type,trial_num,novelty_id,trial_type,level,env_config
19,0,1,0,0,8670,FALSE,Fail,novelty,9,2_10_9,unknown,2,
20,0,1,0,0,7440,FALSE,Fail,novelty,9,2_10_9,unknown,2,
21,0,1,0,0,53580,FALSE,Pass,novelty,9,2_10_9,unknown,2,
22,0,1,0,0,61790,FALSE,Pass,novelty,9,2_10_9,unknown,2,
23,0,1,0,0,71630,FALSE,Fail,novelty,9,2_10_9,unknown,2,
24,0,1,0,0,39770,FALSE,Fail,novelty,9,2_10_9,unknown,2,
0,0,1,0,0,10450,FALSE,Fail,non-novelty-performance,10,3_6_10,unknown,3,
1,0,1,0,0,50850,FALSE,Pass,non-novelty-performance,10,3_6_10,unknown,3,
2,0,1,0,0,10130,FALSE,Fail,non-novelty-performance,10,3_6_10,unknown,3,
3,0,1,0,0,102410,FALSE,Pass,non-novelty-performance,10,3_6_10,unknown,3,
4,0,1,0,0,17950,FALSE,Fail,non-novelty-performance,10,3_6_10,unknown,3,
5,0,1,0,0,0,FALSE,Fail,novelty,10,3_6_10,unknown,3,
6,0,1,0,0,0,FALSE,Fail,novelty,10,3_6_10,unknown,3,
7,0,1,0,0,0,FALSE,Fail,novelty,10,3_6_10,unknown,3,
8,0,1,0,0,0,FALSE,Fail,novelty,10,3_6_10,unknown,3,
9,0,1,0,0,0,FALSE,Fail,novelty,10,3_6_10,unknown,3,
10,0,1,0,0,0,FALSE,Fail,novelty,10,3_6_10,unknown,3,
11,0,1,0,0,0,FALSE,Fail,novelty,10,3_6_10,unknown,3,
12,0,1,0,0,0,FALSE,Fail,novelty,10,3_6_10,unknown,3,
13,0,1,0,0,0,FALSE,Fail,novelty,10,3_6_10,unknown,3,
14,0,1,0,0,0,FALSE,Fail,novelty,10,3_6_10,unknown,3,
15,0,1,0,0,0,FALSE,Fail,novelty,10,3_6_10,unknown,3,
16,0,1,0,0,0,FALSE,Fail,novelty,10,3_6_10,unknown,3,
17,0,1,0,0,0,FALSE,Fail,novelty,10,3_6_10,unknown,3,
18,0,1,0,0,0,FALSE,Fail,novelty,10,3_6_10,unknown,3,
19,0,1,0,0,0,FALSE,Fail,novelty,10,3_6_10,unknown,3,
20,0,1,0,0,0,FALSE,Fail,novelty,10,3_6_10,unknown,3,
21,0,1,0,0,0,FALSE,Fail,novelty,10,3_6_10,unknown,3,
22,0,1,0,0,0,FALSE,Fail,novelty,10,3_6_10,unknown,3,
23,0,1,0,0,0,FALSE,Fail,novelty,10,3_6_10,unknown,3,
24,0,1,0,0,0,FALSE,Fail,novelty,10,3_6_10,unknown,3,
0,0,1,0,0,26530,FALSE,Fail,non-novelty-performance,11,3_7_11,unknown,3,
1,0,1,0,0,21370,FALSE,Fail,non-novelty-performance,11,3_7_11,unknown,3,
2,0,1,0,0,27200,FALSE,Pass,non-novelty-performance,11,3_7_11,unknown,3,
3,0,1,0,0,76500,FALSE,Fail,non-novelty-performance,11,3_7_11,unknown,3,
4,0,1,0,0,17020,FALSE,Fail,non-novelty-performance,11,3_7_11,unknown,3,
5,0,1,0,0,0,FALSE,Fail,novelty,11,3_7_11,unknown,3,
6,0,1,0,0,0,FALSE,Fail,novelty,11,3_7_11,unknown,3,
7,0,1,0,0,0,FALSE,Fail,novelty,11,3_7_11,unknown,3,
8,0,1,0,0,0,FALSE,Fail,novelty,11,3_7_11,unknown,3,
9,0,1,0,0,0,FALSE,Fail,novelty,11,3_7_11,unknown,3,
10,0,1,0,0,0,FALSE,Fail,novelty,11,3_7_11,unknown,3,
11,0,1,0,0,0,FALSE,Fail,novelty,11,3_7_11,unknown,3,
12,0,1,0,0,0,FALSE,Fail,novelty,11,3_7_11,unknown,3,
13,0,1,0,0,0,FALSE,Fail,novelty,11,3_7_11,unknown,3,
14,0,1,0,0,0,FALSE,Fail,novelty,11,3_7_11,unknown,3,
15,0,1,0,0,0,FALSE,Fail,novelty,11,3_7_11,unknown,3,
16,0,1,0,0,0,FALSE,Fail,novelty,11,3_7_11,unknown,3,
17,0,1,0,0,0,FALSE,Fail,novelty,11,3_7_11,unknown,3,
18,0,1,0,0,0,FALSE,Fail,novelty,11,3_7_11,unknown,3,
19,0,1,0,0,0,FALSE,Fail,novelty,11,3_7_11,unknown,3,
20,0,1,0,0,0,FALSE,Fail,novelty,11,3_7_11,unknown,3,
21,0,1,0,0,0,FALSE,Fail,novelty,11,3_7_11,unknown,3,
22,0,1,0,0,0,FALSE,Fail,novelty,11,3_7_11,unknown,3,
23,0,1,0,0,0,FALSE,Fail,novelty,11,3_7_11,unknown,3,
24,0,1,0,0,0,FALSE,Fail,novelty,11,3_7_11,unknown,3,
0,0,1,0,0,42670,FALSE,Fail,non-novelty-performance,12,1_6_12,known,1,
1,0,1,0,0,30140,FALSE,Fail,non-novelty-performance,12,1_6_12,known,1,
2,0,1,0,0,39230,FALSE,Pass,non-novelty-performance,12,1_6_12,known,1,
3,0,1,0,0,107180,FALSE,Fail,non-novelty-performance,12,1_6_12,known,1,
4,0,1,0,0,34010,FALSE,Pass,non-novelty-performance,12,1_6_12,known,1,
5,0,1,0,0,31790,FALSE,Fail,novelty,12,1_6_12,known,1,
6,0,1,0,0,123600,FALSE,Pass,novelty,12,1_6_12,known,1,
7,0,1,0,0,63040,FALSE,Pass,novelty,12,1_6_12,known,1,
8,0,1,0,0,30330,FALSE,Fail,novelty,12,1_6_12,known,1,
9,0,1,0,0,78960,FALSE,Fail,novelty,12,1_6_12,known,1,
10,0,1,0,0,34270,FALSE,Fail,novelty,12,1_6_12,known,1,
11,0,1,0,0,44180,FALSE,Pass,novelty,12,1_6_12,known,1,
12,0,1,0,0,77920,FALSE,Fail,novelty,12,1_6_12,known,1,
13,0,1,0,0,20500,FALSE,Fail,novelty,12,1_6_12,known,1,
14,0,1,0,0,96280,FALSE,Pass,novelty,12,1_6_12,known,1,
15,0,1,0,0,41500,FALSE,Pass,novelty,12,1_6_12,known,1,
16,0,1,0,0,29280,FALSE,Fail,novelty,12,1_6_12,known,1,
17,0,1,0,0,12050,FALSE,Fail,novelty,12,1_6_12,known,1,
18,0,1,0,0,24700,FALSE,Fail,novelty,12,1_6_12,known,1,
19,0,1,0,0,27460,FALSE,Fail,novelty,12,1_6_12,known,1,
20,0,1,0,0,70450,FALSE,Fail,novelty,12,1_6_12,known,1,
21,0,1,0,0,6600,FALSE,Fail,novelty,12,1_6_12,known,1,
22,0,1,0,0,4820,FALSE,Fail,novelty,12,1_6_12,known,1,
23,0,1,0,0,113440,FALSE,Pass,novelty,12,1_6_12,known,1,
24,0,1,0,0,43270,FALSE,Fail,novelty,12,1_6_12,known,1,
0,0,1,0,0,51700,FALSE,Fail,non-novelty-performance,13,1_7_13,known,1,
1,0,1,0,0,126470,FALSE,Fail,non-novelty-performance,13,1_7_13,known,1,
2,0,1,0,0,135360,FALSE,Pass,non-novelty-performance,13,1_7_13,known,1,
