episode_num,novelty_probability,novelty_threshold,novelty,novelty_characterization,performance,notify_novelty,pass,episode_type,trial_num,novelty_id,trial_type,level
2,0,1,0,0,32900,FALSE,Fail,non-novelty-performance,8,2_9_8,unknown,2
3,0,1,0,0,39060,FALSE,Fail,non-novelty-performance,8,2_9_8,unknown,2
4,0,1,0,0,46840,FALSE,Fail,non-novelty-performance,8,2_9_8,unknown,2
5,1,1,0,0,50170,FALSE,Pass,novelty,8,2_9_8,unknown,2
6,1,1,0,0,35990,FALSE,Fail,novelty,8,2_9_8,unknown,2
7,1,1,0,0,128450,FALSE,Pass,novelty,8,2_9_8,unknown,2
8,1,1,0,0,32120,FALSE,Pass,novelty,8,2_9_8,unknown,2
9,1,1,0,0,21650,FALSE,Fail,novelty,8,2_9_8,unknown,2
10,1,1,0,0,19860,FALSE,Fail,novelty,8,2_9_8,unknown,2
11,1,1,0,0,12020,FALSE,Fail,novelty,8,2_9_8,unknown,2
12,1,1,0,0,92710,FALSE,Fail,novelty,8,2_9_8,unknown,2
13,1,1,0,0,30970,FALSE,Fail,novelty,8,2_9_8,unknown,2
14,1,1,0,0,10010,FALSE,Fail,novelty,8,2_9_8,unknown,2
15,1,1,0,0,82830,FALSE,Fail,novelty,8,2_9_8,unknown,2
16,1,1,0,0,34680,FALSE,Fail,novelty,8,2_9_8,unknown,2
17,1,1,0,0,47680,FALSE,Fail,novelty,8,2_9_8,unknown,2
18,1,1,0,0,54880,FALSE,Pass,novelty,8,2_9_8,unknown,2
19,1,1,0,0,32000,FALSE,Fail,novelty,8,2_9_8,unknown,2
20,1,1,0,0,99170,FALSE,Fail,novelty,8,2_9_8,unknown,2
21,1,1,0,0,17850,FALSE,Fail,novelty,8,2_9_8,unknown,2
22,1,1,0,0,54370,FALSE,Pass,novelty,8,2_9_8,unknown,2
23,1,1,0,0,23900,FALSE,Fail,novelty,8,2_9_8,unknown,2
24,1,1,0,0,124140,FALSE,Pass,novelty,8,2_9_8,unknown,2
0,0,1,0,0,39530,FALSE,Pass,non-novelty-performance,9,2_10_9,unknown,2
1,0,1,0,0,99190,FALSE,Pass,non-novelty-performance,9,2_10_9,unknown,2
2,0,1,0,0,15000,FALSE,Fail,non-novelty-performance,9,2_10_9,unknown,2
3,0,1,0,0,19530,FALSE,Fail,non-novelty-performance,9,2_10_9,unknown,2
4,1,1,0,0,44400,FALSE,Pass,non-novelty-performance,9,2_10_9,unknown,2
5,1,1,0,0,57200,FALSE,Pass,novelty,9,2_10_9,unknown,2
6,1,1,0,0,108570,FALSE,Pass,novelty,9,2_10_9,unknown,2
7,1,1,0,0,87290,FALSE,Fail,novelty,9,2_10_9,unknown,2
8,1,1,0,0,67960,FALSE,Fail,novelty,9,2_10_9,unknown,2
9,1,1,0,0,13680,FALSE,Fail,novelty,9,2_10_9,unknown,2
10,1,1,0,0,55760,FALSE,Fail,novelty,9,2_10_9,unknown,2
11,1,1,0,0,9500,FALSE,Fail,novelty,9,2_10_9,unknown,2
12,1,1,0,0,25360,FALSE,Fail,novelty,9,2_10_9,unknown,2
13,1,1,0,0,40800,FALSE,Fail,novelty,9,2_10_9,unknown,2
14,1,1,0,0,72310,FALSE,Pass,novelty,9,2_10_9,unknown,2
15,1,1,0,0,1540,FALSE,Fail,novelty,9,2_10_9,unknown,2
16,1,1,0,0,45850,FALSE,Pass,novelty,9,2_10_9,unknown,2
17,1,1,0,0,31350,FALSE,Fail,novelty,9,2_10_9,unknown,2
18,1,1,0,0,61630,FALSE,Fail,novelty,9,2_10_9,unknown,2
19,1,1,0,0,37570,FALSE,Pass,novelty,9,2_10_9,unknown,2
20,1,1,0,0,35450,FALSE,Fail,novelty,9,2_10_9,unknown,2
21,1,1,0,0,31740,FALSE,Fail,novelty,9,2_10_9,unknown,2
22,1,1,0,0,27900,FALSE,Pass,novelty,9,2_10_9,unknown,2
23,1,1,0,0,16570,FALSE,Fail,novelty,9,2_10_9,unknown,2
24,1,1,0,0,30800,FALSE,Fail,novelty,9,2_10_9,unknown,2
0,0,1,0,0,6720,FALSE,Fail,non-novelty-performance,10,3_6_10,unknown,3
1,0,1,0,0,9440,FALSE,Fail,non-novelty-performance,10,3_6_10,unknown,3
2,0,1,0,0,34750,FALSE,Pass,non-novelty-performance,10,3_6_10,unknown,3
3,0,1,0,0,30290,FALSE,Pass,non-novelty-performance,10,3_6_10,unknown,3
4,0,1,0,0,34400,FALSE,Pass,non-novelty-performance,10,3_6_10,unknown,3
5,0,1,0,0,23590,FALSE,Fail,novelty,10,3_6_10,unknown,3
6,0,1,0,0,21680,FALSE,Fail,novelty,10,3_6_10,unknown,3
7,0,1,0,0,13790,FALSE,Fail,novelty,10,3_6_10,unknown,3
8,0,1,0,0,33260,FALSE,Fail,novelty,10,3_6_10,unknown,3
9,0,1,0,0,31550,FALSE,Pass,novelty,10,3_6_10,unknown,3
10,0,1,0,0,27120,FALSE,Fail,novelty,10,3_6_10,unknown,3
11,0,1,0,0,146150,FALSE,Pass,novelty,10,3_6_10,unknown,3
12,0,1,0,0,0,FALSE,Fail,novelty,10,3_6_10,unknown,3
13,1,1,0,0,55810,FALSE,Fail,novelty,10,3_6_10,unknown,3
14,1,1,0,0,64550,FALSE,Fail,novelty,10,3_6_10,unknown,3
15,1,1,0,0,59170,FALSE,Fail,novelty,10,3_6_10,unknown,3
16,1,1,0,0,0,FALSE,Fail,novelty,10,3_6_10,unknown,3
17,1,1,0,0,51050,FALSE,Pass,novelty,10,3_6_10,unknown,3
18,1,1,0,0,35030,FALSE,Pass,novelty,10,3_6_10,unknown,3
19,1,1,0,0,24090,FALSE,Fail,novelty,10,3_6_10,unknown,3
20,1,1,0,0,46240,FALSE,Pass,novelty,10,3_6_10,unknown,3
21,1,1,0,0,17840,FALSE,Fail,novelty,10,3_6_10,unknown,3
22,1,1,0,0,33630,FALSE,Fail,novelty,10,3_6_10,unknown,3
23,1,1,0,0,40410,FALSE,Fail,novelty,10,3_6_10,unknown,3
24,1,1,0,0,77520,FALSE,Pass,novelty,10,3_6_10,unknown,3
0,0,1,0,0,68350,FALSE,Pass,non-novelty-performance,11,3_7_11,unknown,3
1,0,1,0,0,47130,FALSE,Fail,non-novelty-performance,11,3_7_11,unknown,3
2,0,1,0,0,66310,FALSE,Pass,non-novelty-performance,11,3_7_11,unknown,3
3,0,1,0,0,53860,FALSE,Pass,non-novelty-performance,11,3_7_11,unknown,3
4,0,1,0,0,57680,FALSE,Fail,non-novelty-performance,11,3_7_11,unknown,3
5,0,1,0,0,0,FALSE,Fail,novelty,11,3_7_11,unknown,3
6,0,1,0,0,0,FALSE,Fail,novelty,11,3_7_11,unknown,3
7,0,1,0,0,0,FALSE,Fail,novelty,11,3_7_11,unknown,3
8,0,1,0,0,0,FALSE,Fail,novelty,11,3_7_11,unknown,3
9,0,1,0,0,0,FALSE,Fail,novelty,11,3_7_11,unknown,3
10,0,1,0,0,0,FALSE,Fail,novelty,11,3_7_11,unknown,3
11,0,1,0,0,0,FALSE,Fail,novelty,11,3_7_11,unknown,3
12,0,1,0,0,0,FALSE,Fail,novelty,11,3_7_11,unknown,3
13,0,1,0,0,0,FALSE,Fail,novelty,11,3_7_11,unknown,3
14,0,1,0,0,0,FALSE,Fail,novelty,11,3_7_11,unknown,3
15,0,1,0,0,0,FALSE,Fail,novelty,11,3_7_11,unknown,3
16,0,1,0,0,0,FALSE,Fail,novelty,11,3_7_11,unknown,3
17,0,1,0,0,0,FALSE,Fail,novelty,11,3_7_11,unknown,3
18,0,1,0,0,0,FALSE,Fail,novelty,11,3_7_11,unknown,3
19,0,1,0,0,0,FALSE,Fail,novelty,11,3_7_11,unknown,3
20,0,1,0,0,0,FALSE,Fail,novelty,11,3_7_11,unknown,3
21,0,1,0,0,0,FALSE,Fail,novelty,11,3_7_11,unknown,3
22,0,1,0,0,0,FALSE,Fail,novelty,11,3_7_11,unknown,3
23,0,1,0,0,0,FALSE,Fail,novelty,11,3_7_11,unknown,3
24,0,1,0,0,0,FALSE,Fail,novelty,11,3_7_11,unknown,3
0,0,1,0,0,15770,FALSE,Fail,non-novelty-performance,12,1_6_12,known,1
1,0,1,0,0,11730,FALSE,Fail,non-novelty-performance,12,1_6_12,known,1
2,0,1,0,0,11320,FALSE,Fail,non-novelty-performance,12,1_6_12,known,1
3,0,1,0,0,121500,FALSE,Pass,non-novelty-performance,12,1_6_12,known,1
4,0,1,0,0,39290,FALSE,Pass,non-novelty-performance,12,1_6_12,known,1
5,0,1,0,0,24460,FALSE,Fail,novelty,12,1_6_12,known,1
6,1,1,0,0,15040,FALSE,Fail,novelty,12,1_6_12,known,1
7,1,1,0,0,76670,FALSE,Pass,novelty,12,1_6_12,known,1
8,1,1,0,0,54940,FALSE,Fail,novelty,12,1_6_12,known,1
9,1,1,0,0,41020,FALSE,Fail,novelty,12,1_6_12,known,1
10,1,1,0,0,1570,FALSE,Fail,novelty,12,1_6_12,known,1
11,1,1,0,0,25000,FALSE,Fail,novelty,12,1_6_12,known,1
12,1,1,0,0,32630,FALSE,Fail,novelty,12,1_6_12,known,1
13,1,1,0,0,27250,FALSE,Fail,novelty,12,1_6_12,known,1
14,1,1,0,0,14090,FALSE,Fail,novelty,12,1_6_12,known,1
15,1,1,0,0,500,FALSE,Fail,novelty,12,1_6_12,known,1
16,1,1,0,0,36550,FALSE,Pass,novelty,12,1_6_12,known,1
17,1,1,0,0,62410,FALSE,Pass,novelty,12,1_6_12,known,1
18,1,1,0,0,49490,FALSE,Fail,novelty,12,1_6_12,known,1
19,1,1,0,0,48630,FALSE,Fail,novelty,12,1_6_12,known,1
20,1,1,0,0,36000,FALSE,Pass,novelty,12,1_6_12,known,1
21,1,1,0,0,8490,FALSE,Fail,novelty,12,1_6_12,known,1
22,1,1,0,0,31920,FALSE,Fail,novelty,12,1_6_12,known,1
23,1,1,0,0,20470,FALSE,Fail,novelty,12,1_6_12,known,1
24,1,1,0,0,44590,FALSE,Fail,novelty,12,1_6_12,known,1
0,0,1,0,0,75080,FALSE,Fail,non-novelty-performance,13,1_7_13,known,1
1,0,1,0,0,65670,FALSE,Fail,non-novelty-performance,13,1_7_13,known,1
2,0,1,0,0,101030,FALSE,Pass,non-novelty-performance,13,1_7_13,known,1
3,0,1,0,0,35490,FALSE,Pass,non-novelty-performance,13,1_7_13,known,1
4,0,1,0,0,79560,FALSE,Pass,non-novelty-performance,13,1_7_13,known,1
5,0,1,0,0,34010,FALSE,Fail,novelty,13,1_7_13,known,1
