,trial_num,episode_num,type,novelty_probability,novelty_threshold,novelty,novelty_characterization,performance,novelty_id,level,env_config
0,3,12,unknown-novelty,1.0,0.999999,0,nothing,0.995,0.0,2.0,{'length': 0.3}
0,3,13,unknown-novelty,1.0,0.999999,0,nothing,0.995,0.0,2.0,{'length': 0.3}
0,3,14,unknown-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,3,15,unknown-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,3,16,unknown-novelty,1.0,0.999999,0,nothing,0.995,0.0,2.0,{'length': 0.3}
0,3,17,unknown-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,3,18,unknown-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,3,19,unknown-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,3,5,known-novelty,1.0,0.999999,0,nothing,0.185,0.0,2.0,{'length': 0.3}
0,3,6,known-novelty,1.0,0.999999,0,nothing,0.21,0.0,2.0,{'length': 0.3}
0,3,7,known-novelty,1.0,0.999999,0,nothing,0.755,0.0,2.0,{'length': 0.3}
0,3,8,known-novelty,1.0,0.999999,0,nothing,0.805,0.0,2.0,{'length': 0.3}
0,3,9,known-novelty,1.0,0.999999,0,nothing,0.4,0.0,2.0,{'length': 0.3}
0,3,10,known-novelty,1.0,0.999999,0,nothing,0.9,0.0,2.0,{'length': 0.3}
0,3,11,known-novelty,1.0,0.999999,0,nothing,0.96,0.0,2.0,{'length': 0.3}
0,3,12,known-novelty,1.0,0.999999,0,nothing,0.84,0.0,2.0,{'length': 0.3}
0,3,13,known-novelty,1.0,0.999999,0,nothing,0.515,0.0,2.0,{'length': 0.3}
0,3,14,known-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,3,15,known-novelty,1.0,0.999999,0,nothing,0.61,0.0,2.0,{'length': 0.3}
0,3,16,known-novelty,1.0,0.999999,0,nothing,0.815,0.0,2.0,{'length': 0.3}
0,3,17,known-novelty,1.0,0.999999,0,nothing,0.62,0.0,2.0,{'length': 0.3}
0,3,18,known-novelty,1.0,0.999999,0,nothing,0.59,0.0,2.0,{'length': 0.3}
0,3,19,known-novelty,1.0,0.999999,0,nothing,0.205,0.0,2.0,{'length': 0.3}
0,4,0,non-novelty-performance,0.7709297709008646,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,4,1,non-novelty-performance,0.7933872373721249,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,4,2,non-novelty-performance,0.7933872373721249,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,4,3,non-novelty-performance,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,4,4,non-novelty-performance,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,4,5,unknown-novelty,1.0,0.999999,0,nothing,0.145,0.0,2.0,{'length': 0.3}
0,4,6,unknown-novelty,1.0,0.999999,0,nothing,0.37,0.0,2.0,{'length': 0.3}
0,4,7,unknown-novelty,1.0,0.999999,0,nothing,0.355,0.0,2.0,{'length': 0.3}
0,4,8,unknown-novelty,1.0,0.999999,0,nothing,0.41,0.0,2.0,{'length': 0.3}
0,4,9,unknown-novelty,1.0,0.999999,0,nothing,0.395,0.0,2.0,{'length': 0.3}
0,4,10,unknown-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,4,11,unknown-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,4,12,unknown-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,4,13,unknown-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,4,14,unknown-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,4,15,unknown-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,4,16,unknown-novelty,1.0,0.999999,0,nothing,0.995,0.0,2.0,{'length': 0.3}
0,4,17,unknown-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,4,18,unknown-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,4,19,unknown-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,4,5,known-novelty,1.0,0.999999,0,nothing,0.365,0.0,2.0,{'length': 0.3}
0,4,6,known-novelty,1.0,0.999999,0,nothing,0.385,0.0,2.0,{'length': 0.3}
0,4,7,known-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,4,8,known-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,4,9,known-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,4,10,known-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,4,11,known-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,4,12,known-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,4,13,known-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,4,14,known-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,4,15,known-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,4,16,known-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,4,17,known-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,4,18,known-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,4,19,known-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,5,0,non-novelty-performance,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,5,1,non-novelty-performance,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,5,2,non-novelty-performance,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,5,3,non-novelty-performance,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,5,4,non-novelty-performance,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,5,5,unknown-novelty,1.0,0.999999,0,nothing,0.2,0.0,2.0,{'length': 0.3}
0,5,6,unknown-novelty,1.0,0.999999,0,nothing,0.41,0.0,2.0,{'length': 0.3}
0,5,7,unknown-novelty,1.0,0.999999,0,nothing,0.42,0.0,2.0,{'length': 0.3}
0,5,8,unknown-novelty,1.0,0.999999,0,nothing,0.555,0.0,2.0,{'length': 0.3}
0,5,9,unknown-novelty,1.0,0.999999,0,nothing,0.605,0.0,2.0,{'length': 0.3}
0,5,10,unknown-novelty,1.0,0.999999,0,nothing,0.4,0.0,2.0,{'length': 0.3}
0,5,11,unknown-novelty,1.0,0.999999,0,nothing,0.265,0.0,2.0,{'length': 0.3}
0,5,12,unknown-novelty,1.0,0.999999,0,nothing,0.57,0.0,2.0,{'length': 0.3}
0,5,13,unknown-novelty,1.0,0.999999,0,nothing,0.185,0.0,2.0,{'length': 0.3}
0,5,14,unknown-novelty,1.0,0.999999,0,nothing,0.375,0.0,2.0,{'length': 0.3}
0,5,15,unknown-novelty,1.0,0.999999,0,nothing,0.4,0.0,2.0,{'length': 0.3}
0,5,16,unknown-novelty,1.0,0.999999,0,nothing,0.39,0.0,2.0,{'length': 0.3}
